code,decoder,noiseModel,shots,distance,rounds,error_rate,runtime [s]
repetition,sparse_blossom,si1000_004,10000.0,3,3,0.0011,0.011075990987592377
repetition,sparse_blossom,si1000_004,10000.0,5,5,0.0,0.014606923981773434
repetition,sparse_blossom,si1000_004,10000.0,7,7,0.0,0.015732263993413653
repetition,sparse_blossom,si1000_004,10000.0,9,9,,
repetition,sparse_blossom,si1000_004,10000.0,11,11,,
repetition,sparse_blossom,si1000_004,10000.0,13,13,,
repetition,sparse_blossom,si1000_004,10000.0,15,15,,
repetition,sparse_blossom,si1000_004,10000.0,17,17,,
repetition,sparse_blossom,si1000_004,10000.0,19,19,,
repetition,sparse_blossom,si1000_004,10000.0,21,21,,
repetition,sparse_blossom,si1000_004,10000.0,23,23,,
repetition,sparse_blossom,si1000_004,10000.0,25,25,,
repetition,sparse_blossom,si1000_004,10000.0,27,27,,
repetition,sparse_blossom,si1000_004,10000.0,29,29,,
repetition,sparse_blossom,si1000_004,10000.0,31,31,,
repetition,sparse_blossom,willow,10000.0,3,3,,
repetition,sparse_blossom,willow,10000.0,5,5,,
repetition,sparse_blossom,willow,10000.0,7,7,,
repetition,sparse_blossom,willow,10000.0,9,9,,
repetition,sparse_blossom,willow,10000.0,11,11,,
repetition,sparse_blossom,willow,10000.0,13,13,,
repetition,sparse_blossom,willow,10000.0,15,15,,
repetition,sparse_blossom,willow,10000.0,17,17,,
repetition,sparse_blossom,willow,10000.0,19,19,,
repetition,sparse_blossom,willow,10000.0,21,21,,
repetition,sparse_blossom,willow,10000.0,23,23,,
repetition,sparse_blossom,willow,10000.0,25,25,,
repetition,sparse_blossom,willow,10000.0,27,27,,
repetition,sparse_blossom,willow,10000.0,29,29,,
repetition,sparse_blossom,willow,10000.0,31,31,,
repetition,union_find,si1000_004,10000.0,3,3,,
repetition,union_find,si1000_004,10000.0,5,5,,
repetition,union_find,si1000_004,10000.0,7,7,,
repetition,union_find,si1000_004,10000.0,9,9,,
repetition,union_find,si1000_004,10000.0,11,11,,
repetition,union_find,si1000_004,10000.0,13,13,,
repetition,union_find,si1000_004,10000.0,15,15,,
repetition,union_find,si1000_004,10000.0,17,17,,
repetition,union_find,si1000_004,10000.0,19,19,,
repetition,union_find,si1000_004,10000.0,21,21,,
repetition,union_find,si1000_004,10000.0,23,23,,
repetition,union_find,si1000_004,10000.0,25,25,,
repetition,union_find,si1000_004,10000.0,27,27,,
repetition,union_find,si1000_004,10000.0,29,29,,
repetition,union_find,si1000_004,10000.0,31,31,,
repetition,union_find,willow,10000.0,3,3,,
repetition,union_find,willow,10000.0,5,5,,
repetition,union_find,willow,10000.0,7,7,,
repetition,union_find,willow,10000.0,9,9,,
repetition,union_find,willow,10000.0,11,11,,
repetition,union_find,willow,10000.0,13,13,,
repetition,union_find,willow,10000.0,15,15,,
repetition,union_find,willow,10000.0,17,17,,
repetition,union_find,willow,10000.0,19,19,,
repetition,union_find,willow,10000.0,21,21,,
repetition,union_find,willow,10000.0,23,23,,
repetition,union_find,willow,10000.0,25,25,,
repetition,union_find,willow,10000.0,27,27,,
repetition,union_find,willow,10000.0,29,29,,
repetition,union_find,willow,10000.0,31,31,,
unrotated,sparse_blossom,si1000_004,10000.0,3,3,,
unrotated,sparse_blossom,si1000_004,10000.0,5,5,,
unrotated,sparse_blossom,si1000_004,10000.0,7,7,,
unrotated,sparse_blossom,si1000_004,10000.0,9,9,,
unrotated,sparse_blossom,si1000_004,10000.0,11,11,,
unrotated,sparse_blossom,si1000_004,10000.0,13,13,,
unrotated,sparse_blossom,si1000_004,10000.0,15,15,,
unrotated,sparse_blossom,si1000_004,10000.0,17,17,,
unrotated,sparse_blossom,si1000_004,10000.0,19,19,,
unrotated,sparse_blossom,si1000_004,10000.0,21,21,,
unrotated,sparse_blossom,si1000_004,10000.0,23,23,,
unrotated,sparse_blossom,si1000_004,10000.0,25,25,,
unrotated,sparse_blossom,si1000_004,10000.0,27,27,,
unrotated,sparse_blossom,si1000_004,10000.0,29,29,,
unrotated,sparse_blossom,si1000_004,10000.0,31,31,,
unrotated,sparse_blossom,willow,10000.0,3,3,,
unrotated,sparse_blossom,willow,10000.0,5,5,,
unrotated,sparse_blossom,willow,10000.0,7,7,,
unrotated,sparse_blossom,willow,10000.0,9,9,,
unrotated,sparse_blossom,willow,10000.0,11,11,,
unrotated,sparse_blossom,willow,10000.0,13,13,,
unrotated,sparse_blossom,willow,10000.0,15,15,,
unrotated,sparse_blossom,willow,10000.0,17,17,,
unrotated,sparse_blossom,willow,10000.0,19,19,,
unrotated,sparse_blossom,willow,10000.0,21,21,,
unrotated,sparse_blossom,willow,10000.0,23,23,,
unrotated,sparse_blossom,willow,10000.0,25,25,,
unrotated,sparse_blossom,willow,10000.0,27,27,,
unrotated,sparse_blossom,willow,10000.0,29,29,,
unrotated,sparse_blossom,willow,10000.0,31,31,,
unrotated,union_find,si1000_004,10000.0,3,3,,
unrotated,union_find,si1000_004,10000.0,5,5,,
unrotated,union_find,si1000_004,10000.0,7,7,,
unrotated,union_find,si1000_004,10000.0,9,9,,
unrotated,union_find,si1000_004,10000.0,11,11,,
unrotated,union_find,si1000_004,10000.0,13,13,,
unrotated,union_find,si1000_004,10000.0,15,15,,
unrotated,union_find,si1000_004,10000.0,17,17,,
unrotated,union_find,si1000_004,10000.0,19,19,,
unrotated,union_find,si1000_004,10000.0,21,21,,
unrotated,union_find,si1000_004,10000.0,23,23,,
unrotated,union_find,si1000_004,10000.0,25,25,,
unrotated,union_find,si1000_004,10000.0,27,27,,
unrotated,union_find,si1000_004,10000.0,29,29,,
unrotated,union_find,si1000_004,10000.0,31,31,,
unrotated,union_find,willow,10000.0,3,3,,
unrotated,union_find,willow,10000.0,5,5,,
unrotated,union_find,willow,10000.0,7,7,,
unrotated,union_find,willow,10000.0,9,9,,
unrotated,union_find,willow,10000.0,11,11,,
unrotated,union_find,willow,10000.0,13,13,,
unrotated,union_find,willow,10000.0,15,15,,
unrotated,union_find,willow,10000.0,17,17,,
unrotated,union_find,willow,10000.0,19,19,,
unrotated,union_find,willow,10000.0,21,21,,
unrotated,union_find,willow,10000.0,23,23,,
unrotated,union_find,willow,10000.0,25,25,,
unrotated,union_find,willow,10000.0,27,27,,
unrotated,union_find,willow,10000.0,29,29,,
unrotated,union_find,willow,10000.0,31,31,,
rotated,sparse_blossom,si1000_004,10000.0,3,3,,
rotated,sparse_blossom,si1000_004,10000.0,5,5,,
rotated,sparse_blossom,si1000_004,10000.0,7,7,,
rotated,sparse_blossom,si1000_004,10000.0,9,9,,
rotated,sparse_blossom,si1000_004,10000.0,11,11,,
rotated,sparse_blossom,si1000_004,10000.0,13,13,,
rotated,sparse_blossom,si1000_004,10000.0,15,15,,
rotated,sparse_blossom,si1000_004,10000.0,17,17,,
rotated,sparse_blossom,si1000_004,10000.0,19,19,,
rotated,sparse_blossom,si1000_004,10000.0,21,21,,
rotated,sparse_blossom,si1000_004,10000.0,23,23,,
rotated,sparse_blossom,si1000_004,10000.0,25,25,,
rotated,sparse_blossom,si1000_004,10000.0,27,27,,
rotated,sparse_blossom,si1000_004,10000.0,29,29,,
rotated,sparse_blossom,si1000_004,10000.0,31,31,,
rotated,sparse_blossom,willow,10000.0,3,3,,
rotated,sparse_blossom,willow,10000.0,5,5,,
rotated,sparse_blossom,willow,10000.0,7,7,,
rotated,sparse_blossom,willow,10000.0,9,9,,
rotated,sparse_blossom,willow,10000.0,11,11,,
rotated,sparse_blossom,willow,10000.0,13,13,,
rotated,sparse_blossom,willow,10000.0,15,15,,
rotated,sparse_blossom,willow,10000.0,17,17,,
rotated,sparse_blossom,willow,10000.0,19,19,,
rotated,sparse_blossom,willow,10000.0,21,21,,
rotated,sparse_blossom,willow,10000.0,23,23,,
rotated,sparse_blossom,willow,10000.0,25,25,,
rotated,sparse_blossom,willow,10000.0,27,27,,
rotated,sparse_blossom,willow,10000.0,29,29,,
rotated,sparse_blossom,willow,10000.0,31,31,,
rotated,union_find,si1000_004,10000.0,3,3,,
rotated,union_find,si1000_004,10000.0,5,5,,
rotated,union_find,si1000_004,10000.0,7,7,,
rotated,union_find,si1000_004,10000.0,9,9,,
rotated,union_find,si1000_004,10000.0,11,11,,
rotated,union_find,si1000_004,10000.0,13,13,,
rotated,union_find,si1000_004,10000.0,15,15,,
rotated,union_find,si1000_004,10000.0,17,17,,
rotated,union_find,si1000_004,10000.0,19,19,,
rotated,union_find,si1000_004,10000.0,21,21,,
rotated,union_find,si1000_004,10000.0,23,23,,
rotated,union_find,si1000_004,10000.0,25,25,,
rotated,union_find,si1000_004,10000.0,27,27,,
rotated,union_find,si1000_004,10000.0,29,29,,
rotated,union_find,si1000_004,10000.0,31,31,,
rotated,union_find,willow,10000.0,3,3,,
rotated,union_find,willow,10000.0,5,5,,
rotated,union_find,willow,10000.0,7,7,,
rotated,union_find,willow,10000.0,9,9,,
rotated,union_find,willow,10000.0,11,11,,
rotated,union_find,willow,10000.0,13,13,,
rotated,union_find,willow,10000.0,15,15,,
rotated,union_find,willow,10000.0,17,17,,
rotated,union_find,willow,10000.0,19,19,,
rotated,union_find,willow,10000.0,21,21,,
rotated,union_find,willow,10000.0,23,23,,
rotated,union_find,willow,10000.0,25,25,,
rotated,union_find,willow,10000.0,27,27,,
rotated,union_find,willow,10000.0,29,29,,
rotated,union_find,willow,10000.0,31,31,,
